id,date_added,source,raw_idea,category,status,notes
1,2026-01-28,user_input+perplexity_research,"Автоматизация contract review для юристов: проверка договоров за 12 дней вместо 45 через BMAD clause analysis",legal_contract_review,active,"Metrics: 45→12 days (73% faster), 80% errors caught auto, Thomson Reuters CoCounsel, clause extraction"
2,2026-01-28,user_input+perplexity_research,"Legal research automation: литигационные исследования на 40-50% быстрее через AI-агентов с доступом к Westlaw",legal_research,active,"Metrics: 40-50% faster research, predictive coding for eDiscovery 60-70% efficiency, litigation support"
3,2026-01-28,user_input+perplexity_research,"Compliance monitoring для юристов: 60% ускорение проверок через автоматический мониторинг регуляций",legal_compliance,active,"Metrics: 60% faster checks, continuous regulatory monitoring, learned patterns from precedents"
4,2026-01-28,user_input+perplexity_research,"eDiscovery automation: обработка litigation documents в 10x быстрее через multi-agent coordination",legal_ediscovery,active,"Metrics: weeks→days for doc review, relevance agents, timeline agents, privilege screening"
5,2026-01-28,user_input+perplexity_research,"Recruitment acceleration: найм за 7 дней вместо 60 через claude-flow screening agents (Emirates: 800 часов экономии/месяц)",hr_recruitment,active,"Metrics: 60→7 days, $4129→$2400 cost-per-hire (40% cut), 800 hrs/month, 93% satisfaction, +15% quality"
6,2026-01-28,user_input+perplexity_research,"Onboarding automation для HR: новые сотрудники выходят на продуктивность на 30% быстрее через structured workflows",hr_onboarding,active,"Metrics: 30% faster time-to-productivity, automated document collection, training scheduling, compliance checks"
7,2026-01-28,user_input+perplexity_research,"Performance management через AI: continuous feedback вместо annual reviews освобождает 40+ часов HR-менеджеров",hr_performance,active,"Metrics: 40+ hrs freed, real-time performance insights, automated goal tracking, sentiment analysis"
8,2026-01-28,user_input+perplexity_research,"Workforce planning automation: предсказание потребностей в найме на 3-6 месяцев вперёд через AI forecasting",hr_workforce_planning,active,"Metrics: 3-6 month forecast accuracy, attrition prediction, skill gap analysis, capacity planning"
9,2026-01-28,user_input+perplexity_research,"Invoice processing automation: обработка счетов за $2 вместо $11 через RPA+ML agents (82% cost reduction)",finance_invoice_processing,active,"Metrics: 30min→5min (83% faster), $11→$2 (82% cut), 5%→<1% errors, $2-3M savings for large orgs"
10,2026-01-28,user_input+perplexity_research,"Expense management automation: approval workflows на 50% быстрее через intelligent routing и fraud detection",finance_expense_management,active,"Metrics: 50% faster approvals, automated policy compliance, receipt OCR, fraud pattern detection"
11,2026-01-28,user_input+perplexity_research,"Financial forecasting через AI: cash flow predictions с точностью 90%+ вместо quarterly manual planning",finance_forecasting,active,"Metrics: 90%+ forecast accuracy, real-time cash flow visibility, scenario modeling, quarterly→continuous"
12,2026-01-28,user_input+perplexity_research,"Fraud detection в финансах: AI-агенты находят fraud patterns на 40-60% точнее rule-based систем",finance_fraud_detection,active,"Metrics: 40-60% fewer false positives, learned fraud schemes, $100k median loss prevention, 14mo→weeks detection"
13,2026-01-28,user_input+perplexity_research,"Reconciliation automation: сверка счетов за 2-3 часа вместо 2-3 дней через multi-agent matching",finance_reconciliation,active,"Metrics: 2-3 days→2-3 hours, automated GL reconciliation, exception identification, continuous vs monthly"
14,2026-01-28,user_input+perplexity_research,"Marketing campaign orchestration: создание кампаний в 15x быстрее через BMAD multi-agent coordination",marketing_campaign_orchestration,active,"Metrics: 15x speed (McKinsey), parallel execution, 2-3x conversions, 15-25% ROI improvement, real-time optimization"
15,2026-01-28,user_input+perplexity_research,"Content generation для маркетинга: AI-агенты создают SEO-оптимизированный контент на 75% быстрее",marketing_content_generation,active,"Metrics: 75% faster content creation, SEO optimization, multi-channel variants, brand consistency"
16,2026-01-28,user_input+perplexity_research,"Marketing analytics automation: real-time dashboard вместо weekly reports освобождает 30-40% аналитиков",marketing_analytics,active,"Metrics: 30-40% analyst time freed, natural language queries, automated insights, attribution modeling"
17,2026-01-28,user_input+perplexity_research,"Audience targeting optimization: AI continuously refines сегменты для 15-25% improvement в campaign ROI",marketing_audience_targeting,active,"Metrics: 15-25% ROI improvement, microsegmentation, real-time adjustment, lookalike modeling"
18,2026-01-28,user_input+perplexity_research,"SEO automation workflow: keyword research + site audits + optimization в 5x быстрее через Gumloop agents",marketing_seo,active,"Metrics: 5x faster SEO workflows, automated site health checks, keyword opportunities, technical SEO fixes"
19,2026-01-28,user_input+perplexity_research,"Compliance audit automation: SOC2/HIPAA проверки на 60% быстрее через continuous monitoring agents",compliance_audit,active,"Metrics: 60% faster checks, continuous vs periodic, automated evidence collection, audit trail for regulated industries"
20,2026-01-28,user_input+perplexity_research,"Risk assessment automation: AI оценивает operational risks и флагит аномалии в real-time вместо quarterly reviews",compliance_risk_assessment,active,"Metrics: quarterly→real-time, anomaly detection, learned risk patterns, proactive alerts vs reactive audits"
21,2026-01-28,user_input+perplexity_research,"Sales lead qualification: AI agents квалифицируют leads на 50% быстрее с higher accuracy через behavioral scoring",sales_lead_qualification,active,"Metrics: 50% faster qualification, behavioral scoring, intent signals, automated lead routing, higher conversion"
22,2026-01-28,user_input+perplexity_research,"CRM automation для sales: AI-агенты обновляют CRM, планируют follow-ups и освобождают 20% времени продавцов",sales_crm_automation,active,"Metrics: 20% sales time freed, automated data entry, smart follow-up scheduling, pipeline forecasting"
23,2026-01-28,user_input+perplexity_research,"Sales enablement через AI: персонализированные pitch materials генерируются за минуты вместо часов preparation",sales_enablement,active,"Metrics: hours→minutes for pitch prep, buyer persona matching, competitive intelligence, real-time coaching"
24,2026-01-28,user_input+perplexity_research,"Customer support ticket routing: AI распределяет tickets по экспертизе на 40% быстрее с меньше escalations",customer_support_routing,active,"Metrics: 40% faster routing, smart skill matching, priority detection, reduced escalations, SLA compliance"
25,2026-01-28,user_input+perplexity_research,"Support response automation: AI-агенты отвечают на 60-70% routine queries без human intervention",customer_support_automation,active,"Metrics: 60-70% automation rate, context-aware responses, knowledge base integration, 24/7 availability"
