post_id,date_published,research_id,angle_id,angle_name,style_preset,style_variant,selection_method,selection_confidence,platform,content_type,target_audience,industry,post_length_chars,has_emoji,posting_hour_utc,hour_1_ctr,hour_6_ctr,hour_24_ctr,final_ctr,views_total,clicks_total,comments_24h,shares_24h,saves_24h,engagement_rate,comment_sentiment_avg,humanness_score,readability_score,authenticity_score,quality_score,alternative_1_name,alternative_1_confidence,status,notes
1,2026-01-28,research_1,angle_7,emotional_pain,story-driven,emotional_transformation,ai_recommendation,0.85,telegram,story,solopreneurs,content_creation,412,true,14,2.1,3.5,4.6,4.5,680,31,12,7,15,5.0,0.72,8.4,7.2,8.6,88,conversational,0.72,published,"Top performer this week. Strong hook and transformation. Consider for similar angles."
2,2026-01-28,research_1,angle_1,time_savings,professional,data_credible,user_choice,0.75,linkedin,how-to,marketers,saas,325,false,09,1.2,2.0,3.2,3.9,412,17,3,1,5,2.8,0.55,6.8,6.5,7.2,72,data-focused,0.68,published,"Solid performance. Professional working well for How-To content on LinkedIn."
3,2026-01-29,research_2,angle_2,transformation,conversational,casual_relatable,user_choice,0.68,twitter,insight,freelancers,personal-brand,280,true,11,3.2,3.8,4.2,4.8,521,25,8,5,12,4.1,0.68,8.9,7.5,8.2,87,story-driven,0.81,published,"Conversational working surprisingly well for Twitter. Good engagement."
4,2026-01-29,research_3,angle_3,system_thinking,professional,authoritative,auto_selected,0.79,telegram,opinion,founders,business,389,false,16,1.5,2.2,2.8,3.1,412,13,2,1,3,1.5,0.50,6.1,6.8,7.1,65,story-driven,0.75,published,"Professional underperforming for opinion content. Consider switching to Story-Driven next time."
5,2026-01-30,research_1,angle_4,quality_tradeoff,data-focused,statistical,user_choice,0.82,blog,how-to,developers,saas,512,false,10,2.1,3.5,4.2,4.5,945,43,18,11,22,5.1,0.62,7.1,7.8,7.9,82,professional,0.71,published,"Excellent performance. Data-Focused particularly strong for Developer audience."
6,2026-01-30,research_2,angle_5,social_proof,story-driven,emotional_resonance,ai_recommendation,0.88,telegram,story,solopreneurs,content_creation,401,true,13,2.3,3.8,4.6,4.7,658,30,14,8,18,5.2,0.75,8.3,7.1,8.5,89,professional,0.55,published,"Strong performance. Emotional resonance working well. Sentiment very positive (0.75)."
7,2026-01-31,research_4,angle_6,contrarian_view,conversational,bold_friendly,user_choice,0.71,twitter,opinion,marketers,marketing,268,true,10,2.8,3.5,4.1,4.3,412,18,6,4,8,3.9,0.65,8.7,7.4,8.1,85,story-driven,0.73,published,"Conversational working well for Twitter. Consider Twitter best platform for this style."
8,2026-02-01,research_3,angle_7,scaling_wisdom,story-driven,personal_journey,ai_recommendation,0.92,telegram,story,entrepreneurs,business,445,true,14,3.2,4.5,4.8,5.0,892,43,15,9,24,5.2,0.78,8.5,7.3,8.7,92,data-focused,0.58,published,"ðŸ”¥ VIRAL POST! Highest performing Story-Driven ever. Personal journey + transformation resonated strongly. Humanness 8.5/10 - feels completely authentic."
9,2026-02-01,research_2,angle_2,urgency_fomo,professional,urgency_driven,user_choice,0.64,linkedin,insight,professionals,finance,356,false,08,1.8,2.5,3.2,3.5,523,19,4,2,6,2.2,0.48,6.5,6.8,7.0,68,conversational,0.69,published,"Professional slightly below target. Urgency-driven approach not as effective for Finance professionals - they prefer data over FOMO."
10,2026-02-02,research_1,angle_8,before_after,story-driven,transformation_results,ai_recommendation,0.89,telegram,story,solopreneurs,content_creation,434,true,15,2.6,3.9,4.7,4.9,712,34,16,10,19,5.4,0.76,8.6,7.2,8.8,91,conversational,0.70,published,"Excellent transformation post. Before-After angle performing 4.9% CTR with Story-Driven. Emotional polarity high (0.76)."
