Framework_A,Framework_B,Synergy_Score,Synergy_Type,How_They_Work_Together,Example_Use_Case
TRIZ,Business_Model_Canvas,5,contradiction_resolution,"TRIZ resolves contradictions in business model (speed vs quality), BMC structures the resolution","Startup needs fast launch AND high quality → TRIZ Principle #35 Parameter Change: MVP with quality core + fast iterations on edges"
Six_Hats,SWOT,4,systematic_analysis,"White Hat = facts for S/W, Black Hat = threats, Yellow Hat = opportunities, Green Hat = creative strategies","Career change decision: SWOT baseline → Six Hats explores each quadrant deeply"
GTD,SCAMPER,5,creativity_unlock,"GTD reduces cognitive load → mental space for creativity, SCAMPER during Clarify generates innovative next actions","Inbox item 'improve team communication' → SCAMPER: Can I ELIMINATE status meetings? → Test async video updates"
Pomodoro,Deliberate_Practice,5,structured_execution,"4-6 pomodoros = ideal deliberate practice session length, provides focus structure for weakness-targeted reps","Learn coding: 6 pomodoros daily on weakest area (async/await), video review feedback loop"
Atomic_Habits,HBM,4,capability_automation,"HBM addresses 'Am I capable?' (self-efficacy), Atomic Habits provides 4 Laws to make behavior automatic","Exercise habit: HBM builds confidence → Atomic Habits makes routine automatic via cue-response loop"
SMART,Progressive_Overload,5,destination_path,"SMART = destination, Progressive Overload = path to get there with measurable increments","SMART: 'Run 5K in 25min by Dec' → Progressive Overload: +5% distance weekly, interval training progression"
Growth_Mindset,Deliberate_Practice,5,foundation_enabler,"Growth Mindset = foundation belief that enables effortful practice, removes fear of failure","Musician struggles with complex piece → Growth Mindset reframes mistakes as learning → commits to 10,000 deliberate reps"
Eisenhower,GTD,4,prioritize_execute,"Eisenhower prioritizes what matters, GTD provides execution system for chosen priorities","Weekly review: Eisenhower identifies Q2 activities → GTD converts to next actions in @contexts"
PDCA,Agile,5,continuous_improvement,"PDCA = improvement cycle, Agile = iterative execution framework, combine for rapid learning loops","Product development: Sprint = Plan-Do, Retrospective = Check-Act, next sprint incorporates learnings"
Five_Whys,Ishikawa,4,root_cause_analysis,"Five Whys drills depth on single path, Ishikawa maps breadth across categories, together = complete picture","Quality issue: Ishikawa identifies 5 potential categories → Five Whys on top 2 suspects → root cause"
Pareto,Time_Blocking,5,focus_multiplier,"Pareto identifies vital 20%, Time Blocking protects dedicated time for high-impact work","Analysis shows 20% of clients = 80% revenue → Time Block 3hrs daily for top client relationship work"
SMART,OKR,4,goal_alignment,"SMART for individual goals, OKR for team/company alignment, cascading objectives","Company OKR: 'Reach 10K users' → Team SMART goals: 'Launch 2 features by Q3', 'Reduce churn 15%'"
Pomodoro,GTD,4,execution_rhythm,"GTD organizes what to do, Pomodoro structures how to do it with focus intervals","Next Action: 'Draft proposal' → 3 pomodoros scheduled, inbox checked between sessions"
SCAMPER,Design_Thinking,5,ideation_structure,"SCAMPER = systematic ideation prompts, Design Thinking = human-centered process, combine for creative solutions","Empathize phase reveals user frustration → Ideate with SCAMPER: Can we REVERSE the workflow?"
HBM,Atomic_Habits,4,behavior_change,"HBM diagnoses why behavior not happening (capability, motivation, prompt), Atomic Habits provides 4 Laws to fix it","Want to read more: HBM shows low motivation → Atomic Habits 2nd Law: Make it attractive via temptation bundling"
Jobs_to_be_Done,BMC,5,customer_validation,"JTBD uncovers real customer needs, BMC structures business around those jobs","Customers hire product to 'feel productive' not 'manage tasks' → BMC Value Prop shifts to progress tracking"
Growth_Mindset,PDCA,4,learning_acceleration,"Growth Mindset embraces failure as learning, PDCA systematizes learning into improvement cycles","Failed marketing campaign → Growth Mindset: 'What can we learn?' → PDCA Check: analyze data, Act: iterate"
Eisenhower,Pareto,5,double_filter,"Eisenhower removes urgent-not-important, Pareto finds 20% of important that = 80% results, ultimate focus","Week has 50 tasks → Eisenhower: 20 important → Pareto: 4 tasks = 80% impact → ruthless prioritization"
Progressive_Overload,SMART,5,measurable_growth,"Progressive Overload requires measurable increments, SMART provides measurement framework","Strength training: SMART 'Bench 225lbs by June' → Progressive Overload: +2.5lbs every 5 days"
TRIZ,SCAMPER,4,systematic_creativity,"TRIZ = 40 principles for contradictions, SCAMPER = 7 prompts for modification, complementary toolsets","Product improvement: SCAMPER Adapt → triggers TRIZ Principle #26 Copying for solution"
GTD,Eisenhower,4,organize_prioritize,"GTD captures and organizes everything, Eisenhower filters what actually matters","Capture 100 items in GTD → Clarify with Eisenhower lens → Only Q1/Q2 get scheduled"
Atomic_Habits,Pomodoro,4,habit_formation,"Atomic Habits builds routine via 4 Laws, Pomodoro provides cue (timer) and reward structure","Building writing habit: Cue = morning coffee, Response = 2 pomodoros writing, Reward = guilt-free breakfast"
Five_Whys,PDCA,4,problem_solving,"Five Whys finds root cause in Check phase, PDCA Act phase addresses root cause","PDCA Check: Sales dropped 20% → Five Whys: Because follow-up system broken → Act: rebuild CRM workflow"
SWOT,BMC,4,strategic_foundation,"SWOT analysis informs BMC strategic decisions (which segments, partnerships, resources)","SWOT shows Strength in tech + Opportunity in healthcare → BMC targets healthcare customer segments"
Design_Thinking,Agile,5,user_centered_delivery,"Design Thinking discovers what to build, Agile delivers iteratively with user feedback loops","Empathize + Define phases = user needs → Agile sprints deliver MVPs → Test phase validates"
Six_Hats,SCAMPER,4,creative_perspective,"Six Hats explores problem from 6 angles, Green Hat = creativity mode triggers SCAMPER prompts","Product redesign: Green Hat session → SCAMPER Combine: 'What if we merge checkout with support chat?'"
PDCA,OKR,5,goal_execution,"OKR sets ambitious goals, PDCA provides continuous improvement cycle to achieve them","OKR: '40% user growth' → Weekly PDCA cycles test growth tactics, iterate based on results"
Pareto,Progressive_Overload,4,efficient_growth,"Pareto identifies highest-leverage 20% to improve, Progressive Overload systematically improves it","Identify top 20% skill = presentation delivery → Progressive Overload: record, review, +1 technique weekly"
SMART,Atomic_Habits,4,goal_habit_bridge,"SMART sets endpoint, Atomic Habits builds daily system to reach it","SMART: 'Write book by Dec 31' → Atomic Habits: 500 words daily, habit stacking with morning coffee"
TRIZ,Agile,4,innovation_iteration,"TRIZ generates innovative solutions to contradictions, Agile tests solutions rapidly","Contradiction: fast delivery vs quality → TRIZ: Segmentation (break into modules) → Agile: MVP per module"
HBM,Pomodoro,3,behavior_trigger,"HBM identifies prompt as behavior trigger, Pomodoro timer = consistent prompt mechanism","Want to exercise: HBM shows low prompt → Pomodoro timer at 5pm = daily exercise trigger"
GTD,Time_Blocking,5,workflow_protection,"GTD defines next actions, Time Blocking protects calendar space for those actions","GTD: 'Write chapter 3' → Time Block: Mon/Wed/Fri 9-11am = protected writing time"
Growth_Mindset,Progressive_Overload,5,challenge_embrace,"Growth Mindset embraces difficulty, Progressive Overload ensures optimal difficulty (just beyond current capability)","Plateau in skill → Growth Mindset: 'I can improve' → Progressive Overload: increase difficulty 10%"
SCAMPER,Five_Whys,3,innovation_diagnosis,"Five Whys identifies problem root, SCAMPER generates creative solutions to root cause","Five Whys: customers leave because onboarding confusing → SCAMPER Simplify: remove 3 steps"
Eisenhower,Pomodoro,4,priority_execution,"Eisenhower identifies Q2 (important-not-urgent), Pomodoro ensures focused execution on Q2 tasks","Q2 task: strategic planning → Schedule 4 pomodoros Mon AM when fresh"
PDCA,Deliberate_Practice,5,skill_mastery,"PDCA Check = analyze performance, Act = adjust technique, accelerates deliberate practice feedback loop","Public speaking practice: Record talk (Do) → Review weaknesses (Check) → Target fix in next rep (Act)"
Jobs_to_be_Done,Design_Thinking,5,need_discovery,"JTBD uncovers functional/emotional/social jobs, Design Thinking Empathize phase validates and explores","Interview reveals customers 'hire' product to 'feel professional' → Empathy maps explore what that means"
Atomic_Habits,Time_Blocking,4,habit_scheduling,"Time Blocking creates consistent time/place for habits, makes Atomic Habits 1st Law (Cue) obvious","Meditation habit: Time Block 7:00-7:15am daily = obvious cue, same time/place"
TRIZ,PDCA,4,systematic_innovation,"TRIZ generates solutions in Plan phase, PDCA tests and refines solutions","Plan: TRIZ Principle #2 Extraction for solution → Do: test prototype → Check: measure → Act: refine"
Pareto,OKR,4,impact_focus,"Pareto identifies vital 20% of initiatives, OKR focuses entire team on those high-impact goals","Analysis: 20% of features drive 80% engagement → OKR: 'Improve top 3 features 50%'"
SMART,Time_Blocking,4,goal_scheduling,"SMART defines what needs to be done, Time Blocking schedules when it gets done","SMART: '12 blog posts by Q4' → Time Block: Tues/Thurs 2-4pm = writing blocks"
Growth_Mindset,Atomic_Habits,4,identity_evolution,"Growth Mindset = beliefs can change, Atomic Habits 4th Law = become person who does X, aligned philosophies","Struggling with consistency → Growth Mindset: 'I can become disciplined' → Atomic Habits: identity 'I am a writer'"
SCAMPER,BMC,4,business_innovation,"SCAMPER prompts applied to BMC elements generates business model innovations","SCAMPER Reverse applied to Revenue Streams → 'What if customers paid via time saved, not subscription?'"
Five_Whys,HBM,3,behavior_diagnosis,"Five Whys finds root of behavior failure, HBM provides framework to categorize (capability, motivation, prompt)","Why no exercise? → 5 Whys: lack energy → HBM: low capability (fitness level) → solution: start easier"
Eisenhower,SMART,4,priority_goals,"Eisenhower identifies important areas, SMART converts important areas into specific goals","Eisenhower Q2: health, relationships, learning → SMART goals for each: '10K steps daily', 'weekly date night', '1 course/quarter'"
Pomodoro,Time_Blocking,4,focus_protection,"Time Blocking reserves calendar slots, Pomodoro structures deep work within those blocks","Time Block: 9-12 = deep work → Inside block: 5 pomodoros with 5min breaks"
PDCA,Growth_Mindset,4,learning_loop,"Growth Mindset makes PDCA Check phase productive (failure = data), Act phase = improvement","Experiment failed (Check) → Growth Mindset: 'valuable learning' → Act: adjust hypothesis, re-test"
GTD,OKR,4,execution_alignment,"OKR sets company objectives, GTD translates individual contributions into next actions","Company OKR: '10K users' → My next actions: 'Email 5 prospects', 'Schedule demo with Sarah'"
TRIZ,Design_Thinking,5,problem_solving,"TRIZ Ideate phase = 40 inventive principles, Design Thinking provides human-centered context","Ideate phase stuck → TRIZ Principle #1 Segmentation: 'break user journey into micro-moments'"
Atomic_Habits,Progressive_Overload,5,habit_growth,"Atomic Habits builds consistency, Progressive Overload ensures habit evolves (avoids plateau)","Workout habit established → Progressive Overload: +5% weight monthly keeps habit progressing"
Pareto,SMART,4,focused_goals,"Pareto identifies high-impact 20%, SMART converts those 20% into specific measurable goals","Analysis: 20% clients = 80% revenue → SMART: 'Grow top 5 accounts by 30% this quarter'"
Six_Hats,PDCA,4,multi_perspective_improvement,"Six Hats Check phase explores results from all angles (facts, emotions, risks, benefits, creativity)","PDCA Check: campaign underperformed → Six Hats analysis reveals emotional disconnect (Red Hat insight)"
SCAMPER,Agile,4,sprint_innovation,"SCAMPER in sprint planning generates creative backlog items, Agile executes and tests quickly","Sprint planning: SCAMPER Combine: 'Merge search + filters into single bar' → build in sprint, test with users"
HBM,SMART,3,behavior_goals,"HBM diagnoses behavior barriers, SMART creates goals that address those barriers","HBM shows low motivation for exercise → SMART: find intrinsically motivating goal 'Complete 5K with daughter'"
GTD,Progressive_Overload,3,skill_workflow,"GTD organizes skill development projects, Progressive Overload structures practice progression","GTD project: 'Master SQL' → Progressive Overload: Week 1 = SELECT, Week 2 = JOINs, Week 3 = subqueries"
PDCA,SCAMPER,4,creative_improvement,"SCAMPER in Plan phase generates creative hypotheses, PDCA tests and refines","Plan: SCAMPER Substitute: 'Replace email with Slack' → Do: pilot with team → Check: productivity metrics"
Eisenhower,OKR,4,strategic_focus,"Eisenhower Q2 = strategic important-not-urgent, OKR structures Q2 efforts into objectives + key results","Q2 areas: team development, process improvement → OKRs: 'Every person completes 1 training', '30% faster deployments'"
Jobs_to_be_Done,SCAMPER,4,job_innovation,"JTBD reveals job to be done, SCAMPER generates ways to do the job better","Job: 'Make progress visible' → SCAMPER Magnify: 'What if we made progress 10x more obvious?' → dashboard redesign"
Atomic_Habits,Deliberate_Practice,5,practice_consistency,"Atomic Habits builds daily practice habit, Deliberate Practice ensures practice quality (weakness-focused)","Build piano habit via Atomic Habits → Deliberate Practice: each session targets weakest technique"
Growth_Mindset,SMART,4,aspirational_goals,"Growth Mindset enables ambitious goals, SMART structures path to achieve them","Growth Mindset: 'I can learn data science' → SMART: 'Complete 3 Coursera courses + 2 projects by Dec'"
TRIZ,Eisenhower,3,contradiction_prioritization,"Eisenhower identifies important contradictions (fast growth vs quality), TRIZ resolves them","Q1 crisis: fast vs quality → TRIZ Principle #35: Automate quality checks for speed without sacrifice"
Pareto,Deliberate_Practice,5,leverage_mastery,"Pareto identifies highest-leverage skill (20% that drives 80%), Deliberate Practice masters that skill","Analysis: 20% skill = client objection handling → 10,000 deliberate reps role-playing objections"
Time_Blocking,Deliberate_Practice,4,scheduled_mastery,"Time Blocking protects consistent practice time, Deliberate Practice ensures quality reps","Time Block: 6-7am daily = guitar practice → Deliberate Practice: focus on weakest chord transitions"
PDCA,Time_Blocking,4,improvement_rhythm,"Time Blocking schedules regular PDCA cycles, ensures continuous improvement doesn't get dropped","Time Block: Friday 3-5pm = weekly PDCA review, plan next week improvements"
SMART,Design_Thinking,4,validated_goals,"Design Thinking Test phase validates if SMART goals address real user needs","SMART: 'Reduce onboarding to 5min' → Test: users actually want depth, not speed → revise goal"
GTD,Deliberate_Practice,4,organized_mastery,"GTD organizes practice projects/materials, Deliberate Practice structures practice sessions","GTD: 'Improve presentations' project → materials organized → Deliberate Practice: 1hr daily on delivery techniques"
Six_Hats,Eisenhower,3,decision_exploration,"Six Hats explores decision from all angles before Eisenhower matrix placement","Is this urgent + important? → Six Hats: White (facts), Black (risks), Yellow (benefits) → informed Eisenhower placement"
Atomic_Habits,OKR,4,habit_objectives,"OKR sets team objectives, Atomic Habits helps individuals build habits to achieve their key results","Team OKR: 'Ship 2 features/month' → Individual: Atomic Habits for daily coding blocks"
SCAMPER,Progressive_Overload,3,creative_progression,"SCAMPER generates creative ways to increase difficulty for Progressive Overload","Workout plateau → SCAMPER Combine: 'What if we combine cardio + strength in same movement?'"
HBM,Time_Blocking,3,behavior_scheduling,"HBM identifies prompt as missing, Time Blocking creates consistent prompt via scheduled time","HBM: low prompt for reading → Time Block: 8-8:30pm daily = reading prompt"
TRIZ,Time_Blocking,3,contradiction_scheduling,"TRIZ resolves time contradictions (need focus + availability), Time Blocking implements solution","Contradiction: deep work vs meetings → TRIZ #24 Intermediary: async updates → Time Block: no-meeting mornings"
Pareto,Agile,4,backlog_prioritization,"Pareto identifies vital 20% of backlog, Agile delivers those high-impact items first","Product backlog: 100 items → Pareto: 20 drive 80% value → Agile: sprint on top 20 first"
