sphere,role,priority,signals,tags,default_template,version,specialist_profile,recommended_frameworks,framework_priority,six_hats_color
business,Product Strategist,high,"unclear value,need positioning","strategy,product",Business / Strategy,v1,product-strategist,"OKRs,Lean_Canvas,VPC,BMC",Lean_Canvas,Blue
business,Market Analyst,medium,"unknown market,competition","market,research",Business / Strategy,v1,market-analyst,"SWOT,Porters_Five_Forces,PESTLE,BMC",SWOT,White
business,Operations Lead,medium,"delivery risk,process gaps","ops,delivery",Ops / Delivery Helper,v1,operations-lead,"Kanban,Theory_of_Constraints,Value_Stream_Mapping,OKRs",Theory_of_Constraints,Blue
business,Finance Analyst,medium,"budget uncertainty,unit economics","finance,unit-econ",Business / Strategy,v1,finance-analyst,"NPV,DCF,Unit_Economics,Monte_Carlo",NPV,White
business,Legal / Compliance,medium,"regulatory exposure,contracts","legal,compliance",Legal / Compliance,v1,legal-compliance,"Risk_Matrix,SWOT,Compliance_Framework",Risk_Matrix,Black
business,Growth / GTM,medium,"go-to-market unclear,acquisition plan needed","growth,gtm",Business / Strategy,v1,growth-gtm,"AARRR_Pirate_Metrics,OKRs,Lean_Canvas,Growth_Hacking",AARRR_Pirate_Metrics,Green
finance,Portfolio Manager,high,"investment decisions,allocation needed","portfolio,allocation",Finance / Investment,v1,portfolio-manager,"Real_Options,NPV,Kelly_Criterion,MPT,Monte_Carlo",Real_Options,Yellow
finance,Risk Advisor,high,"volatility exposure,risk unclear","risk,controls",Finance / Investment,v1,risk-advisor,"Monte_Carlo,Risk_Matrix,VaR,Scenario_Analysis",Monte_Carlo,Black
finance,Tax / Legal,medium,"tax impact,regulatory constraints","tax,legal",Legal / Compliance,v1,tax-legal,"Compliance_Framework,Risk_Matrix,Decision_Trees",Compliance_Framework,White
finance,Budget Planner,medium,"budget gaps,cashflow planning","budget,cashflow",Finance / Investment,v1,budget-planner,"Zero_Based_Budgeting,NPV,DCF,Envelope_Budgeting",Zero_Based_Budgeting,White
career,Career Coach,medium,"role unclear,trajectory planning","career,planning",Career / Professional Growth,v1,career-coach,"OKRs,SMART_Goals,Ikigai,SWOT",SMART_Goals,Blue
career,Skill Development,medium,"skill gaps,new responsibilities","learning,skills",Learning / Education,v1,skill-development,"Deliberate_Practice,Growth_Mindset,70-20-10_Learning,Feynman_Technique",Deliberate_Practice,Green
career,Networking / Outreach,low,"stakeholder access,visibility needed","networking,visibility",Career / Professional Growth,v1,networking-outreach,"Six_Degrees,Social_Capital_Theory,Weak_Ties",Six_Degrees,Yellow
career,Portfolio / CV,low,"credentialing,profile building","portfolio,branding",Career / Professional Growth,v1,portfolio-cv,"Personal_Branding,Storytelling,Portfolio_Theory",Personal_Branding,Yellow
health,Health Coach,medium,"behavior change,habit design","health,habits",Health / Wellbeing,v1,health-coach,"Atomic_Habits,Habit_Loop,HBM,SMART_Goals",Atomic_Habits,Green
health,Nutrition,medium,"dietary plan,energy management","nutrition,energy",Health / Wellbeing,v1,nutrition,"Macros_Tracking,HBM,Plate_Method,Mindful_Eating",Macros_Tracking,White
health,Training / Fitness,medium,"physical capacity,performance goals","fitness,training",Health / Wellbeing,v1,training-fitness,"Progressive_Overload,SMART_Goals,Periodization,FITT",Progressive_Overload,Yellow
health,Recovery / Sleep,medium,"fatigue,burnout risk","sleep,recovery",Health / Wellbeing,v1,recovery-sleep,"Sleep_Hygiene,HBM,Circadian_Rhythm,Recovery_Protocols",Sleep_Hygiene,Red
relationships,Communication Coach,medium,"conflicts,misalignment","communication,relationships",Relationships / Social,v1,communication-coach,"Nonviolent_Communication,Active_Listening,Crucial_Conversations,Feedback_Models",Nonviolent_Communication,Red
relationships,Conflict Resolution,medium,"tension,negotiations","conflict,negotiation",Relationships / Social,v1,conflict-resolution,"Interest_Based_Negotiation,BATNA,Win-Win,Mediation_Framework",Interest_Based_Negotiation,Red
relationships,Community Builder,low,"network support,group dynamics","community,engagement",Community / Public Impact,v1,community-builder,"Community_Building,Network_Effects,Social_Capital,Engagement_Ladder",Community_Building,Green
learning,Curriculum Designer,medium,"learning path unclear","curriculum,design",Learning / Education,v1,curriculum-designer,"Blooms_Taxonomy,Backwards_Design,Learning_Objectives,Scaffolding",Backwards_Design,Blue
learning,Study Coach,medium,"consistency,study structure","study,habits",Learning / Education,v1,study-coach,"Spaced_Repetition,Feynman_Technique,Pomodoro,Active_Recall",Spaced_Repetition,Green
learning,Assessment / Feedback,low,"progress validation","assessment,feedback",Learning / Education,v1,assessment-feedback,"Formative_Assessment,Growth_Mindset,Feedback_Loops,Rubrics",Formative_Assessment,Black
home,Household Ops,medium,"routine breakdown,task overload","home,ops",Home / Life Ops,v1,household-ops,"GTD,Time_Blocking,Batching,Kanban",GTD,Blue
home,Maintenance Planner,medium,"maintenance backlog","maintenance,planning",Home / Life Ops,v1,maintenance-planner,"Preventive_Maintenance,Kanban,Checklists,5S",Preventive_Maintenance,Blue
home,Improvement Planner,low,"upgrade projects","improvement,projects",Home / Life Ops,v1,improvement-planner,"Design_Thinking,Lean_Canvas,Eisenhower_Matrix,OKRs",Design_Thinking,Green
legal,Legal Advisor,high,"contracts,liability","legal,advice",Legal / Compliance,v1,legal-advisor,"Risk_Matrix,Compliance_Framework,Contract_Analysis,Due_Diligence",Risk_Matrix,Black
legal,Risk / Compliance,high,"regulatory risk","risk,compliance",Legal / Compliance,v1,risk-compliance,"Risk_Matrix,Compliance_Framework,Control_Framework,Audit_Trail",Compliance_Framework,Black
legal,Documentation,medium,"evidence,record keeping","documentation,records",Legal / Compliance,v1,documentation,"Documentation_Standards,Version_Control,Chain_of_Custody,Records_Management",Documentation_Standards,White
creative,Creative Director,medium,"concept clarity,brand fit","creative,brand",Creative / Content,v1,creative-director,"Design_Thinking,SCAMPER,Mood_Boards,Brand_Strategy",Design_Thinking,Green
creative,Production Lead,medium,"pipeline coordination","production,pipeline",Creative / Content,v1,production-lead,"Kanban,Agile,Critical_Path,Sprint_Planning",Kanban,Blue
creative,Distribution / Promotion,low,"audience reach","distribution,marketing",Creative / Content,v1,distribution-promotion,"AARRR_Pirate_Metrics,Growth_Hacking,Content_Marketing,SEO",Growth_Hacking,Yellow
community,Community Manager,medium,"engagement,retention","community,management",Community / Public Impact,v1,community-manager,"Engagement_Ladder,Community_Building,Social_Listening,Moderation",Engagement_Ladder,Red
community,Partnerships,low,"collaboration needs","partnerships,alliances",Community / Public Impact,v1,partnerships,"Win-Win,Alliance_Management,Co-creation,Network_Effects",Win-Win,Yellow
community,Governance / Policy,low,"rules,moderation","governance,policy",Community / Public Impact,v1,governance-policy,"Policy_Framework,Stakeholder_Analysis,Governance_Model,Consensus_Building",Policy_Framework,Blue
